,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Mexico
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Tennessee
27,Vermont
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
