,0
0,Punjab
1,Himachal Pradesh
2,Haryana
3,Uttaranchal
4,Uttar Pradesh
5,Bihar
6,West Bengal
7,Jharkhand
8,Madhya Pradesh
9,Odisha
10,Chhattisgarh
11,Telangana
12,Andhra Pradesh
13,Kerala
14,Tamil Nadu
15,Goa
16,Karnataka
17,Sikkim
18,Assam
19,Arunachal Pradesh
20,Meghalaya
21,Tripura
22,Nagaland
23,Mizoram
24,Manipur
